,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,amplitude_cv_median,amplitude_cv_range,amplitude_cutoff,noise_cutoff,noise_ratio,amplitude_median,sd_ratio
0,142821,73.06866058562835,0.125,0.5749401851853002,3.2295108926174856,101107,1.0,100272,,0.4019366899825656,0.015361886557298997,0.0,790.3599999999998,,,0.0,-0.07912055248436593,0.009189243293740825,135.135009765625,0.2397006638762398
1,107786,55.14440208290473,0.125,0.5253421693046454,3.5338816955587227,63014,1.0,55638,,0.40109105078581636,0.015604995082849349,9.277642736533502e-06,577.91,,,0.0,-0.10216013337508119,0.008061126866436601,134.5500030517578,0.2551840123715451
2,69,0.03530109423970114,0.09375,0.74057877088048,0.0,0,0.0,0,,0.3333333333333333,0.0,0.0,0.2,,,,-0.12405167498234777,0.0196078431372549,-141.17999267578125,1.4396898698084972
3,77,0.03939397473126069,0.09375,0.5898282416032767,0.0,0,0.0,0,,0.35064935064935066,0.0,0.0,0.10999999999999091,,,,-0.2509415006373569,0.05185185185185185,-141.375,0.36269688802252065
4,409,0.2092485151309821,0.125,0.5898282416032767,11.684612306714097,3,1.0,2,,0.5550122249388753,0.0488997555012225,0.0,1.8,,,,-0.05012049270692102,0.019854721549636804,-136.1099853515625,1.0954648563393268
5,2643,1.352185392398987,0.125,0.5847744605577158,0.6528950593801528,7,1.0,4,,0.8414680287552024,0.06961785849413545,0.0,13.8,,,0.0,-0.04156652086422601,0.011865342163355408,129.0900115966797,1.181884295750625
6,723,0.3698940744246945,0.125,0.595018489467228,2.4928323360408435,2,0.0,0,,0.3997233748271093,0.011065006915629323,0.0,3.109999999999991,,,0.0,-0.10325568078292456,0.008547008547008546,131.625,1.4254790747451231
7,3184,1.6289664356407019,0.125,0.6052480016020559,1.8637667013322405,29,1.0,9,,0.5819723618090452,0.05684673366834171,0.0,16.21999999999998,,,0.0,-0.18232844344318802,0.008029562124916649,120.70500183105469,1.1183614555383976
8,764,0.3908700869439372,0.125,0.5820823193431144,2.2324562001217996,2,1.0,1,,0.43586387434554974,0.02225130890052356,0.0,3.509999999999991,,,0.0,-0.177979737418631,0.014621008080030782,133.77000427246094,0.8446815371939761
9,145572,74.4760998646634,0.125,0.574543386155005,3.1845750762376186,103578,1.0,101230,,0.4120503943065974,0.016699640040667162,6.869452916769708e-06,793.7399999999999,,,0.0,-0.06759490070068516,0.009099172275083158,133.1850128173828,0.2421287187524876
10,110819,56.69611539926725,0.125,0.5721627161669834,3.4967864892114062,65911,1.0,58664,,0.4018624965033072,0.015385448343695575,9.023723368736408e-06,607.1699999999998,,,0.0001443587314476474,-0.1415071495527695,0.006402730363684374,133.1850128173828,0.2557214586424707
11,347,0.17752869132139557,0.125,0.5499427777298251,0.0,0,0.0,0,,0.6109510086455331,0.03170028818443804,0.0,1.8,,,,-0.2447887678462175,0.014160766347355268,128.5050048828125,1.097015245631002
12,667,0.34124391098377765,0.125,0.270280312029277,19.038439705658966,13,1.0,13,,0.47976011994003,0.0239880059970015,0.0,3.2,,,0.0,-0.06830673854216689,0.012880067567567568,-63.959999084472656,1.2638032948896565
13,123180,63.0201273687882,0.125,0.5749401851853002,3.4786760231040335,81013,1.0,79224,,0.38791199870108783,0.01341126806299724,0.0,674.51,,,0.0,-0.15198288421366665,0.0069602921957171516,133.3800048828125,0.25534757433677086
14,1438,0.7356952683578295,0.125,0.3877568126749637,5.04129229936608,16,1.0,5,,0.36439499304589706,0.009735744089012517,0.0,6.8,,,0.0,-0.2587091031195,0.015157894736842105,-95.64750671386719,1.1288556412569328
15,794,0.40621838878728556,0.125,0.7273028473542884,24.80332508015965,24,1.0,19,,0.39420654911838793,0.012594458438287154,0.0,3.8,,,0.0,-0.5316335762276954,0.013805522208883553,-181.64248657226562,1.647999558482481
16,123239,63.05031236241346,0.125,0.4904251586730395,3.557797176587174,82935,1.0,84867,,0.40301365639123976,0.015790455943329628,0.0,671.73,,,0.0001947056294265108,-0.14483400084974882,0.006431119105902134,135.3300018310547,0.2533849881527042
17,330,0.16883132027683154,0.09375,2.27527586520518,0.0,0,0.0,0,,0.4484848484848485,0.03636363636363636,0.0,0.7099999999999909,,,,-0.2679224550775775,0.018971848225214197,-557.5050048828125,1.8451077090054337
18,909,0.4650535458534541,0.125,0.6312696092135174,9.46222232523532,12,1.0,5,,0.39933993399339934,0.0121012101210121,0.0,4.6,,,0.0,0.05851872606678735,0.011136136136136137,140.59500122070312,1.2917635896795658
19,504,0.2578514709682518,0.125,0.5416103085780002,0.0,0,0.0,0,,0.40476190476190477,0.013888888888888888,0.0,0.2,,,0.0,-0.07149551379725945,0.045454545454545456,-99.9375,0.3195517152865519
20,111,0.05678871682038879,0.09375,0.5666077160334752,0.0,0,0.0,0,,0.46846846846846846,0.018018018018018018,0.0,0.30999999999999095,,,,-0.174625174625262,0.016666666666666666,132.99000549316406,1.2522900178471488
21,594,0.30389637649829676,0.09375,0.6885264687426743,3.6931485284559793,2,1.0,2,,0.45286195286195285,0.025252525252525252,0.0,3.0,,,0.0,-0.3218004111641026,0.014660493827160493,-164.1899871826172,1.362221373295958
22,2241,1.1465181476981197,0.125,1.5565659344298353,0.908142489070174,7,0.5292632153087903,2,,0.391789379741187,0.010263275323516287,0.0,11.839999999999963,,,0.0,-0.34026320129613624,0.007867820613690008,-385.7099914550781,0.9324685329750331
23,54723,27.99683739245167,0.125,0.5221679012560335,4.278957669032514,19667,1.0,16674,,0.391352813259507,0.01460080770425598,1.827385194525154e-05,274.9899999999998,,,0.0,-0.19085791957230142,0.012184179938416362,116.41500091552734,0.3076315727186888
24,45056,23.051102928463397,0.125,0.5816855203128192,3.612909377329387,11257,1.0,6833,,0.4034756747159091,0.015713778409090908,0.0,245.54999999999995,,,0.0,-0.16814839466423123,0.007234841709890897,126.94499969482422,0.33032330564010026
25,120,0.06139320737339328,0.09375,1.7899349397660484,0.0,0,0.0,0,,0.6,0.05,0.0,0.2,,,,-0.0653542818572231,0.03296703296703297,-431.5350036621094,1.6233973246435764
26,59701,30.543632278324605,0.125,0.5503395767601204,3.8280171418602884,20941,1.0,16324,,0.40052930436676104,0.01443861911860773,0.0,324.8,,,0.0,-0.1379101218800335,0.006401179521908451,131.23500061035156,0.30020885434280925
27,119590,61.18344724820086,0.125,0.5420071076082954,3.413681958961479,74933,1.0,69491,,0.3956768960615436,0.01426540680658918,8.3619031691613e-06,654.11,,,0.0,-0.06847799553055799,0.008474641236354717,132.2100067138672,0.2516672659223165
28,175,0.0895317607528652,0.09375,2.1351483039562105,0.0,0,0.0,0,,0.41714285714285715,0.017142857142857144,0.0,0.4,,,,-0.27764224335752197,0.023391812865497075,-497.8349914550781,1.9742954071239514
29,236,0.12073997450100679,0.125,0.6391864934388101,23.39621793641005,2,1.0,2,,0.4830508474576271,0.025423728813559324,0.0,1.0,,,,-0.38955503429516913,0.008536585365853657,141.47250366210938,0.8506283120691807
30,108,0.055253886636053955,0.09375,0.7096053869635154,0.0,0,0.0,0,,0.4351851851851852,0.027777777777777776,0.0,0.2,,,,0.2388226320773561,0.08088235294117647,145.66500854492188,0.427613087752215
31,576,0.2946873953922878,0.125,0.3321083068852394,3.9275769018442985,2,1.0,1,,0.4097222222222222,0.012152777777777778,0.0,2.8,,,0.0,-0.16469264369980213,0.009528130671506353,-82.58250427246094,1.5150822397435426
32,215,0.10999616321066297,0.125,0.5539106438390275,14.094924328678138,1,0.0,0,,0.3627906976744186,0.018604651162790697,0.0,0.8,,,,-0.24957136130417976,0.024242424242424242,133.1850128173828,1.7560442472690552
33,329,0.16831971021538658,0.125,0.556291313827049,0.0,0,0.0,0,,0.3890577507598784,0.0243161094224924,0.0,1.6,,,,-0.2311822434400592,0.015672396359959553,128.5050048828125,1.1190944209087748
34,131263,67.15547149544769,0.125,0.6016853530696911,3.306323152688718,87436,1.0,82294,,0.3942847565574457,0.014878526317393325,7.618293045260279e-06,712.31,,,4.570766898506121e-05,-0.129289644015006,0.006823604262764434,140.98500061035156,0.2612530328242737
35,88,0.04502168540715507,0.09375,2.5745473675979764,0.0,0,0.0,0,,0.5,0.0,0.0,0.2,,,,-0.23889868350697316,0.0213903743315508,-619.5150146484375,2.292439233529522
36,86,0.04399846528426519,0.09375,2.634373530337255,0.0,0,0.0,0,,0.3023255813953488,0.0,0.0,0.2,,,,-0.14024758155398404,0.03879310344827586,-635.2125244140625,2.5313760791146023
37,317,0.16218038947804725,0.09375,1.7939772754159213,110.22245131888565,17,1.0,17,,0.5236593059936908,0.022082018927444796,0.0,0.4,,,,-0.22632095674132488,0.028397565922920892,-432.5099792480469,1.5730371676788963
38,406,0.20771368494664727,0.09375,1.6908982857050314,379.45373705344775,96,1.0,96,,0.4605911330049261,0.019704433497536946,0.0,0.7099999999999909,,,,-0.15399543029234153,0.05102040816326531,-407.6474914550781,1.5264610597819628
39,408,0.20873690506953715,0.125,1.0364483319561126,109.59162676980078,28,1.0,28,,0.4950980392156863,0.022058823529411766,0.0,0.4,,,,-0.14081442755874943,0.04985754985754986,-234.97499084472656,1.5578796800560804
40,688,0.3519877222741215,0.125,0.4806306595261222,15.141031993697219,11,1.0,8,,0.45058139534883723,0.020348837209302327,0.0,3.109999999999991,,,0.0,-0.33778287529224754,0.018127705627705628,-110.17500305175781,1.0634698230421427
41,52558,26.889201609423367,0.125,0.5683509698468472,4.375752433010013,18552,1.0,17447,,0.41150728718748814,0.017181019064652383,0.0,275.2,,,0.0,-0.14419247183551234,0.005633275854005525,140.98500061035156,0.3514080296303269
42,53343,27.290815507657648,0.125,0.5384360405293883,4.276991795905857,18679,1.0,13089,,0.41111298577132893,0.016946928369233078,1.8746602178355174e-05,294.53,,,0.0,-0.1515576981255156,0.008171994597028366,129.0900115966797,0.32134491483581107
43,50847,26.01383679429107,0.125,0.5308971073412788,4.172949276673421,16559,1.0,12519,,0.4019312840482231,0.015713808090939484,0.0,254.86999999999966,,,0.0,-0.19884753836767904,0.012902664065454763,116.61000061035156,0.3141706396444549
44,13512,6.9128751502440835,0.125,0.5094707980131484,10.605940842975185,2972,1.0,3436,,0.4271018354055654,0.017910005920663115,0.0,69.81999999999998,,,0.0,-0.09946165794854951,0.008474053987427585,129.0900115966797,0.6278302741730619
45,302,0.1545062385563731,0.125,1.9380214571308536,0.0,0,0.0,0,,0.5596026490066225,0.046357615894039736,0.0,1.2,,,,-0.4382630384157084,0.01951219512195122,-466.8299865722656,2.0730908751777273
46,134,0.0685557482336225,0.09375,0.5579619155187807,0.0,0,0.0,0,,0.4701492537313433,0.007462686567164179,0.0,0.6,,,,-0.35506682462930206,0.007692307692307693,-135.62249755859375,1.9681615558966346
47,89610,45.845377606081435,0.125,0.49875762782486444,3.8243797617308815,47134,1.0,36943,,0.3997768106238143,0.015400066956812855,0.0,485.33,,,0.0,-0.12950200295086328,0.008138310481892506,131.625,0.26012855556007036
48,1604,0.8206225385576902,0.125,0.27342719889992506,1.2661960223606101,5,0.5098129626649425,1,,0.435785536159601,0.021820448877805487,0.0,8.0,,,0.0,-0.47597634786985155,0.012252346193952034,-58.11000061035156,1.4723786677143818
49,69,0.03530109423970114,0.09375,0.7080571084929524,0.0,0,0.0,0,,0.4057971014492754,0.0,0.0,0.4,,,,-0.515433255483779,0.015584415584415584,-160.09498596191406,1.5879125534194096
50,90240,46.16769194479175,0.125,0.524548571244055,3.8332546045863354,47910,1.0,38650,,0.39666445035460995,0.014804964539007093,0.0,488.4499999999999,,,8.864462370357238e-05,-0.14822207749413013,0.008295861330150357,132.2100067138672,0.25675623404432624
